GeoID,Sex,Cancer,Years,PopTot,Cases,AAIR,LCI,UCI,W_PopTot,W_Cases,W_AAIR,W_LCI,W_UCI,B_PopTot,B_Cases,B_AAIR,B_LCI,B_UCI,H_PopTot,H_Cases,H_AAIR,H_LCI,H_UCI,API_PopTot,API_Cases,API_AAIR,API_LCI,API_UCI,AIAN_PopTot,AIAN_Cases,AIAN_AAIR,AIAN_LCI,AIAN_UCI,GeoName,GeoType
29,Male,CRC,05yrs,15123000,8068,48.3,47.2,49.5,12064293,7008,48.7,47.5,49.9,1818209,806,54.5,50.4,58.9,782483,121,28.4,23,34.6,374369,80,32.1,24.9,40.6,83646,16,15.7,8.8,26.3,Missouri,State
29,Both,Urinary,05yrs,30539651,7574,20.7,20.2,21.2,24290552,6954,21.7,21.2,22.2,3791714,455,14.2,12.8,15.7,1514015,54,7.2,5.3,9.5,775542,48,10,7.2,13.5,167828,,,,,Missouri,State
29,Female,Urinary,05yrs,15416651,1766,8.9,8.5,9.3,12226259,1572,9.1,8.6,9.6,1973505,146,8.2,6.9,9.8,731532,,,,,401173,17,6.3,3.5,10.2,84182,,,,,Missouri,State
29,Male,Urinary,05yrs,15123000,5808,35.5,34.6,36.5,12064293,5382,37.3,36.2,38.4,1818209,309,22.8,20,25.8,782483,41,11.6,8,16,374369,31,15.1,9.7,21.9,83646,,,,,Missouri,State
29,Both,Mela,05yrs,30539651,7564,21.4,20.9,21.9,24290552,7466,24.9,24.3,25.5,3791714,20,0.6,0.4,1,1514015,31,3.5,2.3,5.1,775542,,,,,167828,,,,,Missouri,State
29,Female,Mela,05yrs,15416651,3135,17.6,16.9,18.2,12226259,3086,20.9,20.1,21.7,1973505,,,,,731532,16,3.1,1.7,5.1,401173,,,,,84182,,,,,Missouri,State
29,Male,Mela,05yrs,15123000,4429,26.5,25.7,27.3,12064293,4380,30.2,29.3,31.2,1818209,,,,,782483,,,,,374369,,,,,83646,,,,,Missouri,State
29,Both,Kidney,05yrs,30539651,7840,21.1,20.6,21.6,24290552,6732,21.2,20.7,21.8,3791714,882,24.4,22.8,26.2,1514015,128,14,11.5,16.9,775542,40,6.5,4.5,9,167828,23,13.3,8.2,20.3,Missouri,State
29,Female,Kidney,05yrs,15416651,2971,15.4,14.8,15.9,12226259,2530,15.5,14.8,16.1,1973505,351,17.8,15.9,19.8,731532,52,11.9,8.7,15.8,401173,,,,,84182,,,,,Missouri,State
29,Male,Kidney,05yrs,15123000,4869,27.7,26.8,28.5,12064293,4202,27.7,26.9,28.6,1818209,531,33,30,36.1,782483,76,16,12.3,20.4,374369,25,9.5,5.8,14.6,83646,,,,,Missouri,State
29,Both,NHL,05yrs,30539651,7277,20,19.5,20.5,24290552,6498,20.6,20.1,21.1,3791714,520,14.7,13.4,16,1514015,124,12.9,10.6,15.6,775542,70,10.8,8.3,13.9,167828,21,11.5,7,18,Missouri,State
29,Female,NHL,05yrs,15416651,3230,16.6,16,17.2,12226259,2881,17.2,16.6,17.9,1973505,242,12,10.5,13.7,731532,57,11.8,8.8,15.5,401173,26,7.6,4.8,11.3,84182,,,,,Missouri,State
29,Male,NHL,05yrs,15123000,4047,24,23.2,24.7,12064293,3617,24.6,23.7,25.4,1818209,278,18.2,16,20.7,782483,67,14.2,10.7,18.4,374369,44,15,10.6,20.5,83646,,,,,Missouri,State
29,Both,Leuks,05yrs,30539651,5457,15.5,15.1,16,24290552,4875,16.2,15.7,16.7,3791714,377,11.7,10.5,13,1514015,109,10.1,8,12.5,775542,63,10.1,7.6,13.2,167828,,,,,Missouri,State
29,Female,Leuks,05yrs,15416651,2264,12.2,11.7,12.7,12226259,2002,12.7,12.1,13.3,1973505,173,9.4,8,11,731532,50,8.8,6.2,12,401173,25,8.1,5,12.2,84182,,,,,Missouri,State
29,Male,Leuks,05yrs,15123000,3193,19.6,18.8,20.3,12064293,2873,20.3,19.6,21.1,1818209,204,14.8,12.6,17.3,782483,59,11.5,8.3,15.4,374369,38,12.4,8.5,17.4,83646,,,,,Missouri,State
29,Both,Pancreas,05yrs,30539651,5540,14.7,14.3,15.1,24290552,4765,14.5,14.1,15,3791714,641,18.6,17.1,20.2,1514015,52,6.7,4.9,9,775542,52,9.1,6.7,12.2,167828,,,,,Missouri,State
29,Female,Pancreas,05yrs,15416651,2655,13.1,12.6,13.7,12226259,2257,12.9,12.4,13.5,1973505,334,17,15.2,19.1,731532,23,6.3,3.9,9.5,401173,27,9,5.7,13.3,84182,,,,,Missouri,State
29,Male,Pancreas,05yrs,15123000,2885,16.5,15.9,17.2,12064293,2508,16.4,15.7,17.1,1818209,307,21,18.4,23.7,782483,29,7,4.5,10.3,374369,25,9.2,5.8,13.8,83646,,,,,Missouri,State
29,Female,Uterine,05yrs,15416651,5891,29,28.3,29.8,12226259,5048,29.4,28.5,30.2,1973505,616,28.5,26.2,31,731532,104,20.2,16.3,24.6,401173,77,20.9,16.3,26.3,84182,,,,,Missouri,State
29,Both,Oral,05yrs,30539651,5294,13.9,13.5,14.3,24290552,4825,14.8,14.3,15.2,3791714,338,8.9,7.9,9.9,1514015,45,4.8,3.4,6.5,775542,48,8.1,5.8,10.9,167828,,,,,Missouri,State
29,Female,Oral,05yrs,15416651,1434,7.2,6.8,7.6,12226259,1292,7.6,7.2,8.1,1973505,98,4.9,3.9,6,731532,17,4,2.3,6.4,401173,,,,,84182,,,,,Missouri,State
29,Male,Oral,05yrs,15123000,3860,21.2,20.5,21.9,12064293,3533,22.5,21.7,23.3,1818209,240,14.1,12.2,16.1,782483,28,5.5,3.5,8.1,374369,35,13.1,8.8,18.7,83646,,,,,Missouri,State
29,Both,Thyroid,05yrs,30539651,4010,12.2,11.8,12.6,24290552,3525,13,12.6,13.5,3791714,270,7.6,6.7,8.6,1514015,104,8.4,6.7,10.3,775542,72,9.3,7.3,11.8,167828,,,,,Missouri,State
29,Female,Thyroid,05yrs,15416651,2881,17.5,16.9,18.2,12226259,2481,18.6,17.9,19.4,1973505,232,12,10.5,13.7,731532,86,13.9,11,17.4,401173,55,13.5,10.1,17.7,84182,,,,,Missouri,State
29,Male,Thyroid,05yrs,15123000,1129,6.8,6.4,7.2,12064293,1044,7.5,7,8,1818209,38,2.3,1.6,3.2,782483,18,3.3,1.8,5.4,374369,17,4.8,2.7,7.8,83646,,,,,Missouri,State
29,Both,Liver,05yrs,30539651,3557,8.8,8.5,9.1,24290552,2881,8.3,8,8.6,3791714,488,12.4,11.3,13.6,1514015,90,11.1,8.8,13.8,775542,76,13,10.1,16.5,167828,,,,,Missouri,State
29,Female,Liver,05yrs,15416651,1050,5.1,4.8,5.4,12226259,851,4.8,4.5,5.2,1973505,135,6.3,5.3,7.5,731532,30,7,4.7,10.1,401173,26,8.7,5.5,12.9,84182,,,,,Missouri,State
29,Male,Liver,05yrs,15123000,2507,13.2,12.6,13.7,12064293,2030,12.3,11.7,12.8,1818209,353,20.4,18.2,22.8,782483,60,15.8,11.7,20.8,374369,50,18.5,13.5,24.7,83646,,,,,Missouri,State
29,Both,Myeloma,05yrs,30539651,2710,7.2,6.9,7.4,24290552,2092,6.4,6.1,6.7,3791714,539,15.6,14.2,17.1,1514015,37,4.7,3.2,6.6,775542,26,4.2,2.7,6.2,167828,,,,,Missouri,State
29,Female,Myeloma,05yrs,15416651,1180,5.8,5.5,6.2,12226259,882,5,4.7,5.4,1973505,257,13.1,11.5,14.9,731532,19,4.4,2.5,6.9,401173,,,,,84182,,,,,Missouri,State
29,Male,Myeloma,05yrs,15123000,1530,8.8,8.4,9.3,12064293,1210,8,7.5,8.5,1818209,282,19.2,16.8,21.8,782483,18,5.3,2.8,8.8,374369,,,,,83646,,,,,Missouri,State
29,Both,Brain,05yrs,30539651,2355,6.8,6.6,7.1,24290552,2136,7.4,7.1,7.7,3791714,146,4,3.3,4.7,1514015,36,3.3,2.1,4.8,775542,22,3.6,2.2,5.6,167828,,,,,Missouri,State
29,Female,Brain,05yrs,15416651,1022,5.7,5.4,6.1,12226259,926,6.2,5.8,6.7,1973505,72,3.7,2.9,4.7,731532,,,,,401173,,,,,84182,,,,,Missouri,State
29,Male,Brain,05yrs,15123000,1333,8.1,7.6,8.5,12064293,1210,8.7,8.2,9.2,1818209,74,4.2,3.3,5.4,782483,25,4.6,2.6,7.5,374369,,,,,83646,,,,,Missouri,State
29,Both,Stomach,05yrs,30539651,2204,6,5.8,6.3,24290552,1692,5.3,5.1,5.6,3791714,382,11.2,10,12.4,1514015,57,6.5,4.8,8.6,775542,56,9.3,6.8,12.3,167828,,,,,Missouri,State
29,Female,Stomach,05yrs,15416651,807,4.2,3.9,4.5,12226259,583,3.5,3.3,3.9,1973505,163,8.3,7,9.7,731532,26,5.7,3.6,8.5,401173,25,7.5,4.6,11.3,84182,,,,,Missouri,State
29,Male,Stomach,05yrs,15123000,1397,8.2,7.7,8.6,12064293,1109,7.4,7,7.9,1818209,219,15.4,13.2,17.8,782483,31,7.4,4.8,10.9,374369,31,11.7,7.7,16.9,83646,,,,,Missouri,State
29,Both,Esoph,05yrs,30539651,2130,5.5,5.2,5.7,24290552,1909,5.6,5.4,5.9,3791714,173,4.7,4,5.5,1514015,23,2.7,1.7,4.1,775542,,,,,167828,,,,,Missouri,State
29,Female,Esoph,05yrs,15416651,424,2.1,1.9,2.3,12226259,352,2,1.8,2.2,1973505,61,3,2.3,3.9,731532,,,,,401173,,,,,84182,,,,,Missouri,State
29,Male,Esoph,05yrs,15123000,1706,9.4,8.9,9.9,12064293,1557,9.8,9.3,10.3,1818209,112,7,5.7,8.6,782483,19,4.5,2.6,7.3,374369,,,,,83646,,,,,Missouri,State
29,Female,Ovary,05yrs,15416651,1770,9.5,9.1,10,12226259,1523,9.6,9.1,10.2,1973505,154,8.1,6.8,9.5,731532,44,9.2,6.5,12.7,401173,31,8.6,5.8,12.5,84182,,,,,Missouri,State
29,Female,Cervix,05yrs,15416651,1342,8.5,8,9,12226259,1088,8.6,8.1,9.2,1973505,175,9.3,7.9,10.8,731532,33,6.4,4.3,9,401173,30,7.3,4.9,10.5,84182,,,,,Missouri,State
29,Both,Larynx,05yrs,30539651,1495,3.7,3.5,3.9,24290552,1289,3.7,3.5,3.9,3791714,177,4.7,4,5.4,1514015,,,,,775542,,,,,167828,,,,,Missouri,State
29,Female,Larynx,05yrs,15416651,328,1.6,1.4,1.7,12226259,275,1.5,1.4,1.8,1973505,47,2.2,1.6,2.9,731532,,,,,401173,,,,,84182,,,,,Missouri,State
29,Male,Larynx,05yrs,15123000,1167,6.2,5.9,6.6,12064293,1014,6.2,5.8,6.6,1818209,130,8.2,6.7,9.9,782483,,,,,374369,,,,,83646,,,,,Missouri,State
29,Male,Testis,05yrs,15123000,781,5.5,5.1,5.9,12064293,693,6.2,5.8,6.7,1818209,30,1.9,1.3,2.8,782483,42,5.1,3.6,7,374369,,,,,83646,,,,,Missouri,State
29,Both,HL,05yrs,30539651,793,2.5,2.4,2.7,24290552,663,2.6,2.4,2.9,3791714,97,2.6,2.1,3.2,1514015,22,1.8,1.1,2.9,775542,,,,,167828,,,,,Missouri,State
29,Female,HL,05yrs,15416651,368,2.4,2.1,2.6,12226259,308,2.5,2.2,2.8,1973505,44,2.3,1.7,3.1,731532,,,,,401173,,,,,84182,,,,,Missouri,State
29,Male,HL,05yrs,15123000,425,2.8,2.5,3.1,12064293,355,2.8,2.5,3.2,1818209,53,3,2.2,3.9,782483,,,,,374369,,,,,83646,,,,,Missouri,State
29,Both,Meso,05yrs,30539651,264,0.8,0.7,0.9,24290552,237,0.8,0.7,0.9,3791714,20,0.6,0.4,0.9,1514015,,,,,775542,,,,,167828,,,,,Missouri,State
29,Female,Meso,05yrs,15416651,75,0.4,0.3,0.5,12226259,65,0.4,0.3,0.5,1973505,,,,,731532,,,,,401173,,,,,84182,,,,,Missouri,State
29,Male,Meso,05yrs,15123000,189,1.3,1.1,1.5,12064293,172,1.3,1.1,1.5,1818209,,,,,782483,,,,,374369,,,,,83646,,,,,Missouri,State
29,Both,KS,05yrs,30539651,53,0.2,0.1,0.2,24290552,31,0.1,0.1,0.2,3791714,20,0.5,0.3,0.8,1514015,,,,,775542,,,,,167828,,,,,Missouri,State
29,Female,KS,05yrs,15416651,,,,,12226259,,,,,1973505,,,,,731532,,,,,401173,,,,,84182,,,,,Missouri,State
29,Male,KS,05yrs,15123000,49,0.3,0.2,0.4,12064293,27,0.2,0.1,0.3,1818209,20,1,0.6,1.7,782483,,,,,374369,,,,,83646,,,,,Missouri,State
29,Both,AllSite,10yrs,60699306,346420,479.8,478.2,481.5,48618855,302777,485.4,483.6,487.2,7514861,33898,497.5,491.9,503.1,2789196,4093,259.3,250.6,268.3,1448397,3124,283.7,273,294.6,327997,798,220.8,204.8,237.6,Missouri,State
29,Female,AllSite,10yrs,30676672,172181,457.3,455.1,459.6,24501631,149791,465.5,463,467.9,3913345,17147,450.7,443.7,457.7,1345145,2182,263.3,251.5,275.4,752082,1876,296.9,282.9,311.5,164469,399,221.3,199,245.4,Missouri,State
29,Male,AllSite,10yrs,30022634,174239,513.9,511.3,516.4,24117224,152986,516.5,513.8,519.2,3601516,16751,567.5,558.1,577.1,1444051,1911,261.2,247.9,274.9,696315,1248,272.3,255.9,289.4,163528,399,222,199.2,246.6,Missouri,State
29,Both,Lung,10yrs,60699306,55600,74,73.4,74.7,48618855,49267,74.9,74.2,75.6,7514861,5320,79.8,77.5,82.1,2789196,374,29.4,26.3,32.7,1448397,361,37.6,33.5,41.9,327997,135,33.9,28.1,40.6,Missouri,State
29,Female,Lung,10yrs,30676672,26879,66.3,65.5,67.1,24501631,23777,67.6,66.7,68.5,3913345,2597,67.2,64.6,70,1345145,196,28.6,24.6,33.1,752082,180,32.5,27.6,37.9,164469,68,32.5,24.9,42,Missouri,State
29,Male,Lung,10yrs,30022634,28721,84,83,85.1,24117224,25490,84.4,83.3,85.4,3601516,2723,98.1,94.1,102.2,1444051,178,30.7,25.9,36,696315,181,44.5,37.7,52,163528,67,35.3,26.9,45.6,Missouri,State
29,Female,Breast,10yrs,30676672,51841,138.7,137.4,139.9,24501631,44866,140.6,139.2,141.9,3913345,5338,139.9,136.1,143.8,1345145,619,72.7,66.8,79,752082,686,102.1,94.3,110.3,164469,109,59.8,48.5,72.9,Missouri,State
29,Male,Prostate,10yrs,30022634,38125,102.3,101.3,103.4,24117224,32049,97.8,96.7,98.9,3601516,5151,161,156.3,165.8,1444051,348,53.4,47.3,59.9,696315,219,49.5,42.7,57,163528,65,31.7,24.1,41.2,Missouri,State
29,Both,CRC,10yrs,60699306,30090,43.3,42.8,43.9,48618855,26125,43.5,43,44.1,7514861,3067,46.9,45.2,48.7,2789196,377,24.9,22.2,27.7,1448397,303,30,26.4,33.8,327997,64,17.9,13.6,23.2,Missouri,State
29,Female,CRC,10yrs,30676672,14149,38.3,37.6,38.9,24501631,12207,38.4,37.7,39.1,3913345,1526,41.3,39.1,43.5,1345145,159,20.7,17.4,24.4,752082,159,27.3,22.9,32.2,164469,29,16.5,10.8,24.2,Missouri,State
29,Male,CRC,10yrs,30022634,15941,49.2,48.4,50,24117224,13918,49.4,48.5,50.2,3601516,1541,55.1,52.1,58.2,1444051,218,29.4,25.1,34.1,696315,144,33.8,27.9,40.4,163528,35,19.2,13.1,27.3,Missouri,State
29,Both,Urinary,10yrs,60699306,15225,21.5,21.1,21.9,48618855,14000,22.4,22.1,22.8,7514861,898,14.9,13.8,15.9,2789196,105,7.9,6.4,9.7,1448397,85,9.7,7.6,12.2,327997,26,8.5,5.4,12.7,Missouri,State
29,Female,Urinary,10yrs,30676672,3524,9.1,8.8,9.4,24501631,3134,9.3,9,9.6,3913345,302,8.7,7.7,9.8,1345145,21,2.9,1.7,4.5,752082,34,7.1,4.8,10.1,164469,,,,,Missouri,State
29,Male,Urinary,10yrs,30022634,11701,37.2,36.5,37.9,24117224,10866,38.8,38.1,39.6,3601516,596,24.1,21.9,26.3,1444051,84,13.8,10.7,17.5,696315,51,13.3,9.5,18,163528,23,15.8,9.6,24.4,Missouri,State
29,Both,Mela,10yrs,60699306,14523,21.1,20.7,21.4,48618855,14250,24.3,23.8,24.7,7514861,40,0.7,0.5,0.9,2789196,62,4.1,3,5.3,1448397,,,,,327997,24,6.9,4.3,10.6,Missouri,State
29,Female,Mela,10yrs,30676672,5935,17.1,16.6,17.5,24501631,5804,20,19.5,20.6,3913345,21,0.6,0.3,0.9,1345145,28,3.3,2.1,4.8,752082,,,,,164469,,,,,Missouri,State
29,Male,Mela,10yrs,30022634,8588,26.5,25.9,27.1,24117224,8446,29.9,29.2,30.6,3601516,19,0.8,0.4,1.3,1444051,34,5.1,3.3,7.4,696315,,,,,163528,,,,,Missouri,State
29,Both,Kidney,10yrs,60699306,14942,20.6,20.3,21,48618855,12882,20.7,20.3,21.1,7514861,1640,23.8,22.6,25,2789196,238,14.7,12.7,16.8,1448397,71,6.2,4.8,7.9,327997,46,13.8,9.8,18.7,Missouri,State
29,Female,Kidney,10yrs,30676672,5659,14.9,14.5,15.3,24501631,4821,14.9,14.5,15.4,3913345,677,17.6,16.3,19.1,1345145,97,12.4,9.9,15.3,752082,27,4.3,2.8,6.3,164469,,,,,Missouri,State
29,Male,Kidney,10yrs,30022634,9283,27.2,26.6,27.8,24117224,8061,27.2,26.6,27.9,3601516,963,31.9,29.8,34.1,1444051,141,16.9,13.9,20.2,696315,44,8.7,6.1,12,163528,31,19.1,12.5,28,Missouri,State
29,Both,NHL,10yrs,60699306,14269,20.1,19.8,20.5,48618855,12784,20.8,20.4,21.1,7514861,1040,15.2,14.2,16.1,2789196,206,13.2,11.3,15.3,1448397,132,10.9,9,13.1,327997,41,11.8,8.3,16.3,Missouri,State
29,Female,NHL,10yrs,30676672,6364,16.7,16.3,17.1,24501631,5673,17.2,16.8,17.7,3913345,496,12.7,11.6,14,1345145,96,11.8,9.4,14.6,752082,57,8.8,6.6,11.6,164469,18,10.7,6.2,17.4,Missouri,State
29,Male,NHL,10yrs,30022634,7905,24.3,23.7,24.8,24117224,7111,24.9,24.3,25.5,3601516,544,18.4,16.8,20.2,1444051,110,14.9,11.9,18.4,696315,75,13.6,10.5,17.3,163528,23,12.7,7.9,19.6,Missouri,State
29,Both,Leuks,10yrs,60699306,10673,15.6,15.3,15.9,48618855,9556,16.2,15.8,16.5,7514861,774,12.1,11.2,13.1,2789196,180,9.3,7.8,11.1,1448397,90,7.8,6.2,9.8,327997,18,5.1,3,8.3,Missouri,State
29,Female,Leuks,10yrs,30676672,4396,12.1,11.7,12.5,24501631,3883,12.5,12.1,12.9,3913345,353,9.7,8.7,10.9,1345145,84,8.5,6.5,10.8,752082,41,6.8,4.8,9.4,164469,,,,,Missouri,State
29,Male,Leuks,10yrs,30022634,6277,19.8,19.3,20.4,24117224,5673,20.6,20,21.2,3601516,421,15.5,13.9,17.3,1444051,96,10.4,8,13.3,696315,49,9.2,6.5,12.5,163528,,,,,Missouri,State
29,Both,Pancreas,10yrs,60699306,10354,14.3,14,14.6,48618855,8847,14,13.7,14.3,7514861,1276,19.6,18.4,20.7,2789196,88,6.7,5.3,8.4,1448397,89,8.8,7,11,327997,20,6,3.6,9.5,Missouri,State
29,Female,Pancreas,10yrs,30676672,4921,12.7,12.3,13,24501631,4169,12.3,11.9,12.7,3913345,645,17.3,15.9,18.7,1345145,41,6.2,4.4,8.5,752082,45,8.6,6.1,11.7,164469,,,,,Missouri,State
29,Male,Pancreas,10yrs,30022634,5433,16.2,15.8,16.7,24117224,4678,15.9,15.4,16.4,3601516,631,22.9,21,25,1444051,47,7.2,5.1,9.8,696315,44,9,6.4,12.2,163528,,,,,Missouri,State
29,Female,Uterine,10yrs,30676672,11301,28.5,27.9,29,24501631,9774,28.9,28.3,29.5,3913345,1144,27.9,26.2,29.6,1345145,176,19,16.2,22.1,752082,126,18.3,15.1,21.9,164469,26,14.3,9.2,21.5,Missouri,State
29,Both,Oral,10yrs,60699306,10114,13.6,13.3,13.9,48618855,9178,14.3,14,14.6,7514861,701,9.6,8.9,10.4,2789196,83,5.1,4,6.4,1448397,81,7.6,5.9,9.6,327997,29,7.9,5.2,11.7,Missouri,State
29,Female,Oral,10yrs,30676672,2737,7.1,6.8,7.4,24501631,2452,7.4,7.1,7.7,3913345,202,5.1,4.4,5.9,1345145,28,3.5,2.3,5.1,752082,30,5.2,3.4,7.6,164469,,,,,Missouri,State
29,Male,Oral,10yrs,30022634,7377,20.8,20.3,21.3,24117224,6726,21.9,21.3,22.4,3601516,499,15.4,14,16.9,1444051,55,6.7,4.9,8.9,696315,51,10.6,7.6,14.4,163528,17,10.5,5.9,17.2,Missouri,State
29,Both,Thyroid,10yrs,60699306,7921,12.2,12,12.5,48618855,6939,13,12.6,13.3,7514861,554,7.8,7.2,8.5,2789196,197,8.9,7.6,10.3,1448397,147,10.7,9,12.6,327997,27,8.2,5.3,12.1,Missouri,State
29,Female,Thyroid,10yrs,30676672,5763,17.7,17.2,18.2,24501631,4960,18.7,18.1,19.2,3913345,462,12,10.9,13.2,1345145,165,15.2,12.8,17.8,752082,116,15.7,12.9,19,164469,18,10.9,6.3,17.6,Missouri,State
29,Male,Thyroid,10yrs,30022634,2158,6.7,6.4,7,24117224,1979,7.2,6.9,7.6,3601516,92,3,2.3,3.7,1444051,32,3.1,2,4.5,696315,31,4.9,3.3,7.1,163528,,,,,Missouri,State
29,Both,Liver,10yrs,60699306,6625,8.6,8.3,8.8,48618855,5266,7.9,7.6,8.1,7514861,1012,13.6,12.7,14.5,2789196,144,9.8,8.1,11.6,1448397,143,13.5,11.3,16.1,327997,30,7,4.7,10.3,Missouri,State
29,Female,Liver,10yrs,30676672,1922,4.8,4.6,5.1,24501631,1541,4.5,4.3,4.7,3913345,275,7,6.1,7.9,1345145,40,5.4,3.8,7.3,752082,48,8.6,6.2,11.5,164469,,,,,Missouri,State
29,Male,Liver,10yrs,30022634,4703,12.8,12.4,13.2,24117224,3725,11.7,11.3,12.1,3601516,737,22.3,20.6,24.1,1444051,104,14.6,11.6,18,696315,95,19.8,15.8,24.5,163528,23,10.8,6.8,16.8,Missouri,State
29,Both,Myeloma,10yrs,60699306,5299,7.3,7.1,7.5,48618855,4159,6.5,6.3,6.7,7514861,1007,15.4,14.4,16.5,2789196,65,4.5,3.4,5.9,1448397,39,3.6,2.5,5,327997,,,,,Missouri,State
29,Female,Myeloma,10yrs,30676672,2274,5.8,5.5,6,24501631,1721,5,4.8,5.3,3913345,495,13.2,12,14.5,1345145,29,3.9,2.6,5.7,752082,18,2.9,1.7,4.6,164469,,,,,Missouri,State
29,Male,Myeloma,10yrs,30022634,3025,9.1,8.8,9.4,24117224,2438,8.4,8,8.7,3601516,512,18.7,16.9,20.6,1444051,36,5.4,3.5,7.8,696315,21,4.5,2.7,7,163528,,,,,Missouri,State
29,Both,Brain,10yrs,60699306,4678,7,6.8,7.2,48618855,4229,7.5,7.3,7.7,7514861,297,4.1,3.7,4.7,2789196,79,3.5,2.7,4.6,1448397,39,3.3,2.3,4.6,327997,,,,,Missouri,State
29,Female,Brain,10yrs,30676672,2066,5.9,5.7,6.2,24501631,1862,6.4,6.1,6.7,3913345,144,3.8,3.2,4.4,1345145,30,2.6,1.6,3.9,752082,,,,,164469,,,,,Missouri,State
29,Male,Brain,10yrs,30022634,2612,8.1,7.8,8.5,24117224,2367,8.7,8.3,9.1,3601516,153,4.6,3.9,5.5,1444051,49,4.5,3,6.4,696315,25,5.1,3.1,7.7,163528,,,,,Missouri,State
29,Both,Stomach,10yrs,60699306,4215,5.9,5.8,6.1,48618855,3305,5.3,5.2,5.5,7514861,677,10.6,9.8,11.5,2789196,99,6.5,5.2,8.1,1448397,96,9.1,7.3,11.3,327997,,,,,Missouri,State
29,Female,Stomach,10yrs,30676672,1503,4,3.8,4.3,24501631,1115,3.5,3.3,3.7,3913345,288,7.9,7,9,1345145,40,5.3,3.7,7.3,752082,45,7.6,5.4,10.3,164469,,,,,Missouri,State
29,Male,Stomach,10yrs,30022634,2712,8.3,7.9,8.6,24117224,2190,7.6,7.3,7.9,3601516,389,14.5,12.9,16.2,1444051,59,7.9,5.8,10.4,696315,51,11.1,8,14.9,163528,,,,,Missouri,State
29,Both,Esoph,10yrs,60699306,4087,5.5,5.3,5.6,48618855,3690,5.7,5.5,5.9,7514861,318,4.5,4,5.1,2789196,39,2.7,1.8,3.7,1448397,20,1.9,1.1,3,327997,,,,,Missouri,State
29,Female,Esoph,10yrs,30676672,833,2.1,2,2.3,24501631,698,2,1.9,2.2,3913345,118,3,2.4,3.6,1345145,,,,,752082,,,,,164469,,,,,Missouri,State
29,Male,Esoph,10yrs,30022634,3254,9.4,9.1,9.7,24117224,2992,9.8,9.5,10.2,3601516,200,6.7,5.8,7.9,1444051,32,4.4,2.9,6.4,696315,,,,,163528,,,,,Missouri,State
